2013-10-22 14:25:39,280 INFO  [org.hibernate.tool.hbm2ddl.TableMetadata] table found: .SA.CONNECTOR
2013-10-22 14:25:39,281 INFO  [org.hibernate.tool.hbm2ddl.TableMetadata] columns: [password_keystore, wsa_to, tag, cache_config, connector_version, unt_password, type, connectorassociated_id, url, id, alias_keystore, username, password_keystore_org, issuer, description, username_token_active, local_cert_config, name, path, policy_name, unt_name, password_keystore_ssl]
2013-10-22 14:25:39,281 INFO  [org.hibernate.tool.hbm2ddl.TableMetadata] foreign keys: [fk8392042d93fa1fa6]
2013-10-22 14:25:39,281 INFO  [org.hibernate.tool.hbm2ddl.TableMetadata] indexes: [sql130930141934500, sql130930141935220]
2013-10-22 14:25:39,325 INFO  [org.hibernate.tool.hbm2ddl.TableMetadata] table found: .SA.CONNECTOR_ROLE_OPERATION
2013-10-22 14:25:39,325 INFO  [org.hibernate.tool.hbm2ddl.TableMetadata] columns: [role_operation_id, connector_id]
2013-10-22 14:25:39,325 INFO  [org.hibernate.tool.hbm2ddl.TableMetadata] foreign keys: [fkfb04a710b4c16c3f, fkfb04a710b821b62c]
2013-10-22 14:25:39,325 INFO  [org.hibernate.tool.hbm2ddl.TableMetadata] indexes: [sql130930141935340, sql130930141934700, sql130930141935450]
2013-10-22 14:25:39,337 INFO  [org.hibernate.tool.hbm2ddl.TableMetadata] table found: .SA.GLOBAL_CONFIGURATION
2013-10-22 14:25:39,337 INFO  [org.hibernate.tool.hbm2ddl.TableMetadata] columns: [alias_keystore, id, password_keystore, password_keystore_org, type, password_keystore_ssl]
2013-10-22 14:25:39,337 INFO  [org.hibernate.tool.hbm2ddl.TableMetadata] foreign keys: []
2013-10-22 14:25:39,337 INFO  [org.hibernate.tool.hbm2ddl.TableMetadata] indexes: [sql130930141934880]
2013-10-22 14:25:39,349 INFO  [org.hibernate.tool.hbm2ddl.TableMetadata] table found: .SA.ROLE_OPERATION
2013-10-22 14:25:39,349 INFO  [org.hibernate.tool.hbm2ddl.TableMetadata] columns: [id, operation, operation_wsdl, wsa_action, role]
2013-10-22 14:25:39,350 INFO  [org.hibernate.tool.hbm2ddl.TableMetadata] foreign keys: []
2013-10-22 14:25:39,350 INFO  [org.hibernate.tool.hbm2ddl.TableMetadata] indexes: [sql130930141935040]
2013-10-22 14:25:39,486 INFO  [org.hibernate.tool.hbm2ddl.SchemaUpdate] schema update complete
2013-10-22 14:25:39,489 INFO  [org.hibernate.util.NamingHelper] JNDI InitialContext properties:{java.naming.factory.initial=org.jnp.interfaces.NamingContextFactory, java.naming.factory.url.pkgs=org.jboss.naming:org.jnp.interfaces}
2013-10-22 14:25:39,649 INFO  [org.jboss.ejb3.JmxKernelAbstraction] creating wrapper delegate for: org.jboss.ejb3.stateless.StatelessContainer
2013-10-22 14:25:39,653 INFO  [org.jboss.ejb3.JmxKernelAbstraction] installing MBean: jboss.j2ee:ear=connector-pge-ear.ear,jar=connector-pge-ejb.jar,name=ConnectorManagerSession,service=EJB3 with dependencies:
2013-10-22 14:25:39,653 INFO  [org.jboss.ejb3.JmxKernelAbstraction] 	jboss.j2ee:ear=connector-pge-ear.ear,jar=connector-pge-ejb.jar,name=GlobalConfigurationManagerSession,service=EJB3
2013-10-22 14:25:39,653 INFO  [org.jboss.ejb3.JmxKernelAbstraction] 	persistence.units:ear=connector-pge-ear.ear,jar=connector-pge-ejb.jar,unitName=connector-pge
